Template ID,Category,Room Type,Style Name,Full Name,Prompt,Image Status,Image URL,Sort Order,Popularity,Notes
TEMPLATE-LOT6493TB,Interior Design,living-room,Latte,Latte / Creamy Style Living Room,"---[ 提示词开始 / PROMPT START ]---
Crucial Command: This is a TOTAL space transformation project. The user's input image is for layout, structural, and perspective reference ONLY. ALL visible surfaces (walls, floors, ceilings, exterior facades, landscapes) and existing elements (windows, doors, furniture, decor, vegetation) within the input image MUST BE COMPLETELY REPLACED or newly generated according to the specified style. No original textures, dirt, or unfinished elements from the input image should remain in the final output. The output must represent a fully finished, high-end, and professionally designed space.

Strictly retain the spatial structure, camera perspective, lighting direction, and main elements' positions (e.g., windows, doors, key architectural features) from the user's input image. If it's an interior, ensure realistic room proportions. If it's an exterior, maintain the architectural footprint and landscape contours.

The final output must be a professional-grade photograph, photorealistic, with exceptional attention to detail, harmonious composition, and an overall refined and high-end aesthetic. The image should evoke a sense of aspiration and sophisticated comfort, suitable for features in leading design publications like ""Architectural Digest,"" ""Elle Decor,"" or ""Ark Journal.""

Employ soft, natural, and inviting lighting. For interiors, envision ample diffused natural light from large windows, supplemented by warm, well-placed accent lighting. For exteriors, aim for golden hour or clear daylight with balanced shadows. The atmosphere should be serene, pure, and enhance the specified style.

Transform this Living Room into a dreamy latte-style sanctuary featuring walls in warm cream or latte tones with smooth matte plaster finish, light natural oak or white-washed wood flooring with subtle grain, furniture with soft rounded edges in plush boucle fabric or velvet in rich caramel, oatmeal, and taupe tones, organic-shaped tables in light travertine stone or pale wood, layered textures including chunky knit throw blankets in ivory and velvet cushions, soft-pile area rug in warm beige tones, minimal decor with sculptural ceramic vases in neutral tones, dried pampas grass or natural branches, rounded arch doorways or curved architectural details where applicable, warm ambient lighting with modern fixtures in fabric or frosted glass, large windows with sheer linen curtains allowing soft diffused light, monochromatic palette of cream, latte, caramel, oatmeal, and soft taupe creating an Instagram-worthy cocoon of warmth and tactile comfort.


The final image must be of Hasselblad quality, photorealistic, with extreme detail, vibrant color accuracy, and exceptional dynamic range. Rendered with V-Ray or Corona Renderer.
---[ 提示词结束 / PROMPT END ]---
// Project: MyNook  // 项目：MyNook
// Recipe Version: MyNook-V1.0-Universal",pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-living-room-latte-creamy-style.png,1,high,
TEMPLATE-TOW1O9D6U,Interior Design,master-bedroom,Latte,Latte / Creamy Style Master Bedroom,"---[ 提示词开始 / PROMPT START ]---
Crucial Command: This is a TOTAL space transformation project. The user's input image is for layout, structural, and perspective reference ONLY. ALL visible surfaces (walls, floors, ceilings, exterior facades, landscapes) and existing elements (windows, doors, furniture, decor, vegetation) within the input image MUST BE COMPLETELY REPLACED or newly generated according to the specified style. No original textures, dirt, or unfinished elements from the input image should remain in the final output. The output must represent a fully finished, high-end, and professionally designed space.

Strictly retain the spatial structure, camera perspective, lighting direction, and main elements' positions (e.g., windows, doors, key architectural features) from the user's input image. If it's an interior, ensure realistic room proportions. If it's an exterior, maintain the architectural footprint and landscape contours.

The final output must be a professional-grade photograph, photorealistic, with exceptional attention to detail, harmonious composition, and an overall refined and high-end aesthetic. The image should evoke a sense of aspiration and sophisticated comfort, suitable for features in leading design publications like ""Architectural Digest,"" ""Elle Decor,"" or ""Ark Journal.""

Employ soft, natural, and inviting lighting. For interiors, envision ample diffused natural light from large windows, supplemented by warm, well-placed accent lighting. For exteriors, aim for golden hour or clear daylight with balanced shadows. The atmosphere should be serene, pure, and enhance the specified style.

Transform this Master Bedroom into a dreamy latte-style sanctuary featuring walls in warm cream or latte tones with smooth matte plaster finish, light natural oak or white-washed wood flooring with subtle grain, furniture with soft rounded edges in plush boucle fabric or velvet in rich caramel, oatmeal, and taupe tones, organic-shaped tables in light travertine stone or pale wood, layered textures including chunky knit throw blankets in ivory and velvet cushions, soft-pile area rug in warm beige tones, minimal decor with sculptural ceramic vases in neutral tones, dried pampas grass or natural branches, rounded arch doorways or curved architectural details where applicable, warm ambient lighting with modern fixtures in fabric or frosted glass, large windows with sheer linen curtains allowing soft diffused light, monochromatic palette of cream, latte, caramel, oatmeal, and soft taupe creating an Instagram-worthy cocoon of warmth and tactile comfort.


The final image must be of Hasselblad quality, photorealistic, with extreme detail, vibrant color accuracy, and exceptional dynamic range. Rendered with V-Ray or Corona Renderer.
---[ 提示词结束 / PROMPT END ]---
// Project: MyNook  // 项目：MyNook
// Recipe Version: MyNook-V1.0-Universal",pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-master-bedroom-latte-creamy-style.png,1,high,
TEMPLATE-MKZL5FKO4,Interior Design,bedroom,Latte,Latte / Creamy Style Bedroom,"---[ 提示词开始 / PROMPT START ]---
Crucial Command: This is a TOTAL space transformation project. The user's input image is for layout, structural, and perspective reference ONLY. ALL visible surfaces (walls, floors, ceilings, exterior facades, landscapes) and existing elements (windows, doors, furniture, decor, vegetation) within the input image MUST BE COMPLETELY REPLACED or newly generated according to the specified style. No original textures, dirt, or unfinished elements from the input image should remain in the final output. The output must represent a fully finished, high-end, and professionally designed space.

Strictly retain the spatial structure, camera perspective, lighting direction, and main elements' positions (e.g., windows, doors, key architectural features) from the user's input image. If it's an interior, ensure realistic room proportions. If it's an exterior, maintain the architectural footprint and landscape contours.

The final output must be a professional-grade photograph, photorealistic, with exceptional attention to detail, harmonious composition, and an overall refined and high-end aesthetic. The image should evoke a sense of aspiration and sophisticated comfort, suitable for features in leading design publications like ""Architectural Digest,"" ""Elle Decor,"" or ""Ark Journal.""

Employ soft, natural, and inviting lighting. For interiors, envision ample diffused natural light from large windows, supplemented by warm, well-placed accent lighting. For exteriors, aim for golden hour or clear daylight with balanced shadows. The atmosphere should be serene, pure, and enhance the specified style.

Transform this Bedroom into a dreamy latte-style sanctuary featuring walls in warm cream or latte tones with smooth matte plaster finish, light natural oak or white-washed wood flooring with subtle grain, furniture with soft rounded edges in plush boucle fabric or velvet in rich caramel, oatmeal, and taupe tones, organic-shaped tables in light travertine stone or pale wood, layered textures including chunky knit throw blankets in ivory and velvet cushions, soft-pile area rug in warm beige tones, minimal decor with sculptural ceramic vases in neutral tones, dried pampas grass or natural branches, rounded arch doorways or curved architectural details where applicable, warm ambient lighting with modern fixtures in fabric or frosted glass, large windows with sheer linen curtains allowing soft diffused light, monochromatic palette of cream, latte, caramel, oatmeal, and soft taupe creating an Instagram-worthy cocoon of warmth and tactile comfort.


The final image must be of Hasselblad quality, photorealistic, with extreme detail, vibrant color accuracy, and exceptional dynamic range. Rendered with V-Ray or Corona Renderer.
---[ 提示词结束 / PROMPT END ]---
// Project: MyNook  // 项目：MyNook
// Recipe Version: MyNook-V1.0-Universal",pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-latte-creamy-style.png,1,high,
TEMPLATE-MHIWOV2BG,Interior Design,guest-bedroom,Latte,Latte / Creamy Style Guest Bedroom,"---[ 提示词开始 / PROMPT START ]---
Crucial Command: This is a TOTAL space transformation project. The user's input image is for layout, structural, and perspective reference ONLY. ALL visible surfaces (walls, floors, ceilings, exterior facades, landscapes) and existing elements (windows, doors, furniture, decor, vegetation) within the input image MUST BE COMPLETELY REPLACED or newly generated according to the specified style. No original textures, dirt, or unfinished elements from the input image should remain in the final output. The output must represent a fully finished, high-end, and professionally designed space.

Strictly retain the spatial structure, camera perspective, lighting direction, and main elements' positions (e.g., windows, doors, key architectural features) from the user's input image. If it's an interior, ensure realistic room proportions. If it's an exterior, maintain the architectural footprint and landscape contours.

The final output must be a professional-grade photograph, photorealistic, with exceptional attention to detail, harmonious composition, and an overall refined and high-end aesthetic. The image should evoke a sense of aspiration and sophisticated comfort, suitable for features in leading design publications like ""Architectural Digest,"" ""Elle Decor,"" or ""Ark Journal.""

Employ soft, natural, and inviting lighting. For interiors, envision ample diffused natural light from large windows, supplemented by warm, well-placed accent lighting. For exteriors, aim for golden hour or clear daylight with balanced shadows. The atmosphere should be serene, pure, and enhance the specified style.

Transform this Guest Bedroom into a dreamy latte-style sanctuary featuring walls in warm cream or latte tones with smooth matte plaster finish, light natural oak or white-washed wood flooring with subtle grain, furniture with soft rounded edges in plush boucle fabric or velvet in rich caramel, oatmeal, and taupe tones, organic-shaped tables in light travertine stone or pale wood, layered textures including chunky knit throw blankets in ivory and velvet cushions, soft-pile area rug in warm beige tones, minimal decor with sculptural ceramic vases in neutral tones, dried pampas grass or natural branches, rounded arch doorways or curved architectural details where applicable, warm ambient lighting with modern fixtures in fabric or frosted glass, large windows with sheer linen curtains allowing soft diffused light, monochromatic palette of cream, latte, caramel, oatmeal, and soft taupe creating an Instagram-worthy cocoon of warmth and tactile comfort.


The final image must be of Hasselblad quality, photorealistic, with extreme detail, vibrant color accuracy, and exceptional dynamic range. Rendered with V-Ray or Corona Renderer.
---[ 提示词结束 / PROMPT END ]---
// Project: MyNook  // 项目：MyNook
// Recipe Version: MyNook-V1.0-Universal",pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-guest-bedroom-latte-creamy-style.png,1,high,
TEMPLATE-1MKZ9UCML,Interior Design,kitchen,Latte,Latte / Creamy Style Kitchen,"---[ 提示词开始 / PROMPT START ]---
Crucial Command: This is a TOTAL space transformation project. The user's input image is for layout, structural, and perspective reference ONLY. ALL visible surfaces (walls, floors, ceilings, exterior facades, landscapes) and existing elements (windows, doors, furniture, decor, vegetation) within the input image MUST BE COMPLETELY REPLACED or newly generated according to the specified style. No original textures, dirt, or unfinished elements from the input image should remain in the final output. The output must represent a fully finished, high-end, and professionally designed space.

Strictly retain the spatial structure, camera perspective, lighting direction, and main elements' positions (e.g., windows, doors, key architectural features) from the user's input image. If it's an interior, ensure realistic room proportions. If it's an exterior, maintain the architectural footprint and landscape contours.

The final output must be a professional-grade photograph, photorealistic, with exceptional attention to detail, harmonious composition, and an overall refined and high-end aesthetic. The image should evoke a sense of aspiration and sophisticated comfort, suitable for features in leading design publications like ""Architectural Digest,"" ""Elle Decor,"" or ""Ark Journal.""

Employ soft, natural, and inviting lighting. For interiors, envision ample diffused natural light from large windows, supplemented by warm, well-placed accent lighting. For exteriors, aim for golden hour or clear daylight with balanced shadows. The atmosphere should be serene, pure, and enhance the specified style.

Transform this Kitchen into a dreamy latte-style sanctuary featuring walls in warm cream or latte tones with smooth matte plaster finish, light natural oak or white-washed wood flooring with subtle grain, furniture with soft rounded edges in plush boucle fabric or velvet in rich caramel, oatmeal, and taupe tones, organic-shaped tables in light travertine stone or pale wood, layered textures including chunky knit throw blankets in ivory and velvet cushions, soft-pile area rug in warm beige tones, minimal decor with sculptural ceramic vases in neutral tones, dried pampas grass or natural branches, rounded arch doorways or curved architectural details where applicable, warm ambient lighting with modern fixtures in fabric or frosted glass, large windows with sheer linen curtains allowing soft diffused light, monochromatic palette of cream, latte, caramel, oatmeal, and soft taupe creating an Instagram-worthy cocoon of warmth and tactile comfort.


The final image must be of Hasselblad quality, photorealistic, with extreme detail, vibrant color accuracy, and exceptional dynamic range. Rendered with V-Ray or Corona Renderer.
---[ 提示词结束 / PROMPT END ]---
// Project: MyNook  // 项目：MyNook
// Recipe Version: MyNook-V1.0-Universal",pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kitchen-latte-creamy-style.png,1,high,
TEMPLATE-RCQG2YXN9,Interior Design,dining-room,Latte,Latte / Creamy Style Dining Room,"---[ 提示词开始 / PROMPT START ]---
Crucial Command: This is a TOTAL space transformation project. The user's input image is for layout, structural, and perspective reference ONLY. ALL visible surfaces (walls, floors, ceilings, exterior facades, landscapes) and existing elements (windows, doors, furniture, decor, vegetation) within the input image MUST BE COMPLETELY REPLACED or newly generated according to the specified style. No original textures, dirt, or unfinished elements from the input image should remain in the final output. The output must represent a fully finished, high-end, and professionally designed space.

Strictly retain the spatial structure, camera perspective, lighting direction, and main elements' positions (e.g., windows, doors, key architectural features) from the user's input image. If it's an interior, ensure realistic room proportions. If it's an exterior, maintain the architectural footprint and landscape contours.

The final output must be a professional-grade photograph, photorealistic, with exceptional attention to detail, harmonious composition, and an overall refined and high-end aesthetic. The image should evoke a sense of aspiration and sophisticated comfort, suitable for features in leading design publications like ""Architectural Digest,"" ""Elle Decor,"" or ""Ark Journal.""

Employ soft, natural, and inviting lighting. For interiors, envision ample diffused natural light from large windows, supplemented by warm, well-placed accent lighting. For exteriors, aim for golden hour or clear daylight with balanced shadows. The atmosphere should be serene, pure, and enhance the specified style.

Transform this Dining Room into a dreamy latte-style sanctuary featuring walls in warm cream or latte tones with smooth matte plaster finish, light natural oak or white-washed wood flooring with subtle grain, furniture with soft rounded edges in plush boucle fabric or velvet in rich caramel, oatmeal, and taupe tones, organic-shaped tables in light travertine stone or pale wood, layered textures including chunky knit throw blankets in ivory and velvet cushions, soft-pile area rug in warm beige tones, minimal decor with sculptural ceramic vases in neutral tones, dried pampas grass or natural branches, rounded arch doorways or curved architectural details where applicable, warm ambient lighting with modern fixtures in fabric or frosted glass, large windows with sheer linen curtains allowing soft diffused light, monochromatic palette of cream, latte, caramel, oatmeal, and soft taupe creating an Instagram-worthy cocoon of warmth and tactile comfort.


The final image must be of Hasselblad quality, photorealistic, with extreme detail, vibrant color accuracy, and exceptional dynamic range. Rendered with V-Ray or Corona Renderer.
---[ 提示词结束 / PROMPT END ]---
// Project: MyNook  // 项目：MyNook
// Recipe Version: MyNook-V1.0-Universal",pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-latte-creamy-style.png,1,high,
TEMPLATE-HZBDCC8CY,Interior Design,bathroom,Latte,Latte / Creamy Style Bathroom,"---[ 提示词开始 / PROMPT START ]---
Crucial Command: This is a TOTAL space transformation project. The user's input image is for layout, structural, and perspective reference ONLY. ALL visible surfaces (walls, floors, ceilings, exterior facades, landscapes) and existing elements (windows, doors, furniture, decor, vegetation) within the input image MUST BE COMPLETELY REPLACED or newly generated according to the specified style. No original textures, dirt, or unfinished elements from the input image should remain in the final output. The output must represent a fully finished, high-end, and professionally designed space.

Strictly retain the spatial structure, camera perspective, lighting direction, and main elements' positions (e.g., windows, doors, key architectural features) from the user's input image. If it's an interior, ensure realistic room proportions. If it's an exterior, maintain the architectural footprint and landscape contours.

The final output must be a professional-grade photograph, photorealistic, with exceptional attention to detail, harmonious composition, and an overall refined and high-end aesthetic. The image should evoke a sense of aspiration and sophisticated comfort, suitable for features in leading design publications like ""Architectural Digest,"" ""Elle Decor,"" or ""Ark Journal.""

Employ soft, natural, and inviting lighting. For interiors, envision ample diffused natural light from large windows, supplemented by warm, well-placed accent lighting. For exteriors, aim for golden hour or clear daylight with balanced shadows. The atmosphere should be serene, pure, and enhance the specified style.

Transform this Bathroom into a dreamy latte-style sanctuary featuring walls in warm cream or latte tones with smooth matte plaster finish, light natural oak or white-washed wood flooring with subtle grain, furniture with soft rounded edges in plush boucle fabric or velvet in rich caramel, oatmeal, and taupe tones, organic-shaped tables in light travertine stone or pale wood, layered textures including chunky knit throw blankets in ivory and velvet cushions, soft-pile area rug in warm beige tones, minimal decor with sculptural ceramic vases in neutral tones, dried pampas grass or natural branches, rounded arch doorways or curved architectural details where applicable, warm ambient lighting with modern fixtures in fabric or frosted glass, large windows with sheer linen curtains allowing soft diffused light, monochromatic palette of cream, latte, caramel, oatmeal, and soft taupe creating an Instagram-worthy cocoon of warmth and tactile comfort.


The final image must be of Hasselblad quality, photorealistic, with extreme detail, vibrant color accuracy, and exceptional dynamic range. Rendered with V-Ray or Corona Renderer.
---[ 提示词结束 / PROMPT END ]---
// Project: MyNook  // 项目：MyNook
// Recipe Version: MyNook-V1.0-Universal",pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bathroom-latte-creamy-style.png,1,high,
TEMPLATE-GL253FVTP,Interior Design,master-bathroom,Latte,Latte / Creamy Style Master Bathroom,"---[ 提示词开始 / PROMPT START ]---
Crucial Command: This is a TOTAL space transformation project. The user's input image is for layout, structural, and perspective reference ONLY. ALL visible surfaces (walls, floors, ceilings, exterior facades, landscapes) and existing elements (windows, doors, furniture, decor, vegetation) within the input image MUST BE COMPLETELY REPLACED or newly generated according to the specified style. No original textures, dirt, or unfinished elements from the input image should remain in the final output. The output must represent a fully finished, high-end, and professionally designed space.

Strictly retain the spatial structure, camera perspective, lighting direction, and main elements' positions (e.g., windows, doors, key architectural features) from the user's input image. If it's an interior, ensure realistic room proportions. If it's an exterior, maintain the architectural footprint and landscape contours.

The final output must be a professional-grade photograph, photorealistic, with exceptional attention to detail, harmonious composition, and an overall refined and high-end aesthetic. The image should evoke a sense of aspiration and sophisticated comfort, suitable for features in leading design publications like ""Architectural Digest,"" ""Elle Decor,"" or ""Ark Journal.""

Employ soft, natural, and inviting lighting. For interiors, envision ample diffused natural light from large windows, supplemented by warm, well-placed accent lighting. For exteriors, aim for golden hour or clear daylight with balanced shadows. The atmosphere should be serene, pure, and enhance the specified style.

Transform this Master Bathroom into a dreamy latte-style sanctuary featuring walls in warm cream or latte tones with smooth matte plaster finish, light natural oak or white-washed wood flooring with subtle grain, furniture with soft rounded edges in plush boucle fabric or velvet in rich caramel, oatmeal, and taupe tones, organic-shaped tables in light travertine stone or pale wood, layered textures including chunky knit throw blankets in ivory and velvet cushions, soft-pile area rug in warm beige tones, minimal decor with sculptural ceramic vases in neutral tones, dried pampas grass or natural branches, rounded arch doorways or curved architectural details where applicable, warm ambient lighting with modern fixtures in fabric or frosted glass, large windows with sheer linen curtains allowing soft diffused light, monochromatic palette of cream, latte, caramel, oatmeal, and soft taupe creating an Instagram-worthy cocoon of warmth and tactile comfort.


The final image must be of Hasselblad quality, photorealistic, with extreme detail, vibrant color accuracy, and exceptional dynamic range. Rendered with V-Ray or Corona Renderer.
---[ 提示词结束 / PROMPT END ]---
// Project: MyNook  // 项目：MyNook
// Recipe Version: MyNook-V1.0-Universal",pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-master-bathroom-latte-creamy-style.png,1,high,
TEMPLATE-BEMXIE79F,Interior Design,home-office,Latte,Latte / Creamy Style Home Office,"---[ 提示词开始 / PROMPT START ]---
Crucial Command: This is a TOTAL space transformation project. The user's input image is for layout, structural, and perspective reference ONLY. ALL visible surfaces (walls, floors, ceilings, exterior facades, landscapes) and existing elements (windows, doors, furniture, decor, vegetation) within the input image MUST BE COMPLETELY REPLACED or newly generated according to the specified style. No original textures, dirt, or unfinished elements from the input image should remain in the final output. The output must represent a fully finished, high-end, and professionally designed space.

Strictly retain the spatial structure, camera perspective, lighting direction, and main elements' positions (e.g., windows, doors, key architectural features) from the user's input image. If it's an interior, ensure realistic room proportions. If it's an exterior, maintain the architectural footprint and landscape contours.

The final output must be a professional-grade photograph, photorealistic, with exceptional attention to detail, harmonious composition, and an overall refined and high-end aesthetic. The image should evoke a sense of aspiration and sophisticated comfort, suitable for features in leading design publications like ""Architectural Digest,"" ""Elle Decor,"" or ""Ark Journal.""

Employ soft, natural, and inviting lighting. For interiors, envision ample diffused natural light from large windows, supplemented by warm, well-placed accent lighting. For exteriors, aim for golden hour or clear daylight with balanced shadows. The atmosphere should be serene, pure, and enhance the specified style.

Transform this Home Office into a dreamy latte-style sanctuary featuring walls in warm cream or latte tones with smooth matte plaster finish, light natural oak or white-washed wood flooring with subtle grain, furniture with soft rounded edges in plush boucle fabric or velvet in rich caramel, oatmeal, and taupe tones, organic-shaped tables in light travertine stone or pale wood, layered textures including chunky knit throw blankets in ivory and velvet cushions, soft-pile area rug in warm beige tones, minimal decor with sculptural ceramic vases in neutral tones, dried pampas grass or natural branches, rounded arch doorways or curved architectural details where applicable, warm ambient lighting with modern fixtures in fabric or frosted glass, large windows with sheer linen curtains allowing soft diffused light, monochromatic palette of cream, latte, caramel, oatmeal, and soft taupe creating an Instagram-worthy cocoon of warmth and tactile comfort.


The final image must be of Hasselblad quality, photorealistic, with extreme detail, vibrant color accuracy, and exceptional dynamic range. Rendered with V-Ray or Corona Renderer.
---[ 提示词结束 / PROMPT END ]---
// Project: MyNook  // 项目：MyNook
// Recipe Version: MyNook-V1.0-Universal",pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-latte-creamy-style.png,1,high,
TEMPLATE-4XG6ZMJP4,Interior Design,kids-room,Latte,Latte / Creamy Style Kids Room,"---[ 提示词开始 / PROMPT START ]---
Crucial Command: This is a TOTAL space transformation project. The user's input image is for layout, structural, and perspective reference ONLY. ALL visible surfaces (walls, floors, ceilings, exterior facades, landscapes) and existing elements (windows, doors, furniture, decor, vegetation) within the input image MUST BE COMPLETELY REPLACED or newly generated according to the specified style. No original textures, dirt, or unfinished elements from the input image should remain in the final output. The output must represent a fully finished, high-end, and professionally designed space.

Strictly retain the spatial structure, camera perspective, lighting direction, and main elements' positions (e.g., windows, doors, key architectural features) from the user's input image. If it's an interior, ensure realistic room proportions. If it's an exterior, maintain the architectural footprint and landscape contours.

The final output must be a professional-grade photograph, photorealistic, with exceptional attention to detail, harmonious composition, and an overall refined and high-end aesthetic. The image should evoke a sense of aspiration and sophisticated comfort, suitable for features in leading design publications like ""Architectural Digest,"" ""Elle Decor,"" or ""Ark Journal.""

Employ soft, natural, and inviting lighting. For interiors, envision ample diffused natural light from large windows, supplemented by warm, well-placed accent lighting. For exteriors, aim for golden hour or clear daylight with balanced shadows. The atmosphere should be serene, pure, and enhance the specified style.

Transform this Kids Room into a dreamy latte-style sanctuary featuring walls in warm cream or latte tones with smooth matte plaster finish, light natural oak or white-washed wood flooring with subtle grain, furniture with soft rounded edges in plush boucle fabric or velvet in rich caramel, oatmeal, and taupe tones, organic-shaped tables in light travertine stone or pale wood, layered textures including chunky knit throw blankets in ivory and velvet cushions, soft-pile area rug in warm beige tones, minimal decor with sculptural ceramic vases in neutral tones, dried pampas grass or natural branches, rounded arch doorways or curved architectural details where applicable, warm ambient lighting with modern fixtures in fabric or frosted glass, large windows with sheer linen curtains allowing soft diffused light, monochromatic palette of cream, latte, caramel, oatmeal, and soft taupe creating an Instagram-worthy cocoon of warmth and tactile comfort.


The final image must be of Hasselblad quality, photorealistic, with extreme detail, vibrant color accuracy, and exceptional dynamic range. Rendered with V-Ray or Corona Renderer.
---[ 提示词结束 / PROMPT END ]---
// Project: MyNook  // 项目：MyNook
// Recipe Version: MyNook-V1.0-Universal",pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kids-room-latte-creamy-style.png,1,high,
