Room Type,Style Name,Full Name,Popularity,Image Status,Image URL
attic,Scandinavian,Scandinavian Attic,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-attic-scandinavian.png
attic,Cottagecore,Cottagecore Attic,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-attic-cottagecore.png
attic,Modern,Modern Minimalist Attic,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-attic-modern-minimalist.png
attic,Bohemian,Bohemian Attic,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-attic-bohemian.png
attic,Contemporary,Contemporary Attic,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-attic-contemporary.png
attic,Zen,Zen Minimalism Attic,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-attic-zen-minimalism.png
attic,Eclectic,Eclectic Attic,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-attic-eclectic.png
attic,Rustic,Rustic Modern Attic,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-attic-rustic-modern.png
attic,Industrial,Industrial Loft Attic,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-attic-industrial-loft.png
attic,Natural,Natural Biophilic Attic,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-attic-natural-biophilic.png
balcony-terrace,Scandinavian,Scandinavian Balcony Terrace,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-balcony-terrace-scandinavian.png
balcony-terrace,Modern,Modern Minimalist Balcony Terrace,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-balcony-terrace-modern-minimalist.png
balcony-terrace,Coastal,Coastal Balcony Terrace,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-balcony-terrace-coastal.png
balcony-terrace,Bohemian,Bohemian Balcony Terrace,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-balcony-terrace-bohemian.png
balcony-terrace,Contemporary,Contemporary Balcony Terrace,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-balcony-terrace-contemporary.png
balcony-terrace,Natural,Natural Biophilic Balcony Terrace,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-balcony-terrace-natural-biophilic.png
balcony-terrace,Urban,Urban Modern Balcony Terrace,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-balcony-terrace-urban-modern.png
balcony-terrace,Resort,Resort Style Balcony Terrace,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-balcony-terrace-resort-style.png
balcony-terrace,Tropical,Tropical Balcony Terrace,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-balcony-terrace-tropical.png
balcony-terrace,Mediterranean,Mediterranean Balcony Terrace,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-balcony-terrace-mediterranean.png
basement,Scandinavian,Scandinavian Basement,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-basement-scandinavian.png
basement,Modern,Modern Farmhouse Basement,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-basement-modern-farmhouse.png
basement,Modern,Modern Minimalist Basement,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-basement-modern-minimalist.png
basement,Mid-Century,Mid-Century Modern Basement,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-basement-mid-century-modern.png
basement,Bohemian,Bohemian Basement,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-basement-bohemian.png
basement,Contemporary,Contemporary Basement,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-basement-contemporary.png
basement,Rustic,Rustic Modern Basement,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-basement-rustic-modern.png
basement,Industrial,Industrial Loft Basement,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-basement-industrial-loft.png
basement,Traditional,Traditional Basement,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-basement-traditional.png
basement,Urban,Urban Modern Basement,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-basement-urban-modern.png
bathroom,Latte,Latte / Creamy Style Bathroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bathroom-latte-creamy-style.png
bathroom,Organic,Organic Modern Bathroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bathroom-organic-modern.png
bathroom,Quiet,Quiet Luxury Bathroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bathroom-quiet-luxury.png
bathroom,Scandinavian,Scandinavian Bathroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bathroom-scandinavian.png
bathroom,Japandi,Japandi Bathroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bathroom-japandi.png
bathroom,Modern,Modern Minimalist Bathroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bathroom-modern-minimalist.png
bathroom,Coastal,Coastal Bathroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bathroom-coastal.png
bathroom,Contemporary,Contemporary Bathroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bathroom-contemporary.png
bathroom,Art,Art Deco Bathroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bathroom-art-deco.png
bathroom,Zen,Zen Minimalism Bathroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bathroom-zen-minimalism.png
bathroom,Industrial,Industrial Loft Bathroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bathroom-industrial-loft.png
bathroom,Traditional,Traditional Bathroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bathroom-traditional.png
bathroom,Modern,Modern Luxury Bathroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bathroom-modern-luxury.png
bathroom,Mediterranean,Mediterranean Bathroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bathroom-mediterranean.png
bedroom,Latte,Latte / Creamy Style Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-latte-creamy-style.png
bedroom,Organic,Organic Modern Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-organic-modern.png
bedroom,Quiet,Quiet Luxury Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-quiet-luxury.png
bedroom,Warm,Warm Minimalism Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-warm-minimalism.png
bedroom,Scandinavian,Scandinavian Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-scandinavian.png
bedroom,Japandi,Japandi Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-japandi.png
bedroom,Cottagecore,Cottagecore Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-cottagecore.png
bedroom,Modern,Modern Farmhouse Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-modern-farmhouse.png
bedroom,Modern,Modern Minimalist Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-modern-minimalist.png
bedroom,Coastal,Coastal Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-coastal.png
bedroom,Grandmillennial,Grandmillennial Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-grandmillennial.png
bedroom,Bohemian,Bohemian Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-bohemian.png
bedroom,Contemporary,Contemporary Bedroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-contemporary.png
bedroom,Transitional,Transitional Bedroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-transitional.png
bedroom,Nordic,Nordic Light Bedroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-nordic-light.png
bedroom,Zen,Zen Minimalism Bedroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-zen-minimalism.png
bedroom,Traditional,Traditional Bedroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-traditional.png
bedroom,Natural,Natural Biophilic Bedroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-bedroom-natural-biophilic.png
craft-hobby-room,Dopamine,Dopamine Decor Craft Hobby Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-craft-hobby-room-dopamine-decor.png
craft-hobby-room,Scandinavian,Scandinavian Craft Hobby Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-craft-hobby-room-scandinavian.png
craft-hobby-room,Cottagecore,Cottagecore Craft Hobby Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-craft-hobby-room-cottagecore.png
craft-hobby-room,Modern,Modern Farmhouse Craft Hobby Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-craft-hobby-room-modern-farmhouse.png
craft-hobby-room,Bohemian,Bohemian Craft Hobby Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-craft-hobby-room-bohemian.png
craft-hobby-room,Contemporary,Contemporary Craft Hobby Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-craft-hobby-room-contemporary.png
craft-hobby-room,Nordic,Nordic Light Craft Hobby Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-craft-hobby-room-nordic-light.png
craft-hobby-room,Eclectic,Eclectic Craft Hobby Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-craft-hobby-room-eclectic.png
craft-hobby-room,Natural,Natural Biophilic Craft Hobby Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-craft-hobby-room-natural-biophilic.png
craft-hobby-room,Colorful,Colorful Contemporary Craft Hobby Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-craft-hobby-room-colorful-contemporary.png
dining-room,Latte,Latte / Creamy Style Dining Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-latte-creamy-style.png
dining-room,Dopamine,Dopamine Decor Dining Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-dopamine-decor.png
dining-room,Scandinavian,Scandinavian Dining Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-scandinavian.png
dining-room,Maximalist,Maximalist Dining Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-maximalist.png
dining-room,Modern,Modern Farmhouse Dining Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-modern-farmhouse.png
dining-room,Mid-Century,Mid-Century Modern Dining Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-mid-century-modern.png
dining-room,Coastal,Coastal Dining Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-coastal.png
dining-room,Grandmillennial,Grandmillennial Dining Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-grandmillennial.png
dining-room,Bohemian,Bohemian Dining Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-bohemian.png
dining-room,Contemporary,Contemporary Dining Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-contemporary.png
dining-room,Art,Art Deco Dining Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-art-deco.png
dining-room,Transitional,Transitional Dining Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-transitional.png
dining-room,Parisian,Parisian Chic Dining Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-parisian-chic.png
dining-room,Industrial,Industrial Loft Dining Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-industrial-loft.png
dining-room,Traditional,Traditional Dining Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-traditional.png
dining-room,Modern,Modern Luxury Dining Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-modern-luxury.png
dining-room,Mediterranean,Mediterranean Dining Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-mediterranean.png
dining-room,Hollywood,Hollywood Regency Dining Room,low,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-dining-room-hollywood-regency.png
game-room,Dopamine,Dopamine Decor Game Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-game-room-dopamine-decor.png
game-room,Maximalist,Maximalist Game Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-game-room-maximalist.png
game-room,Modern,Modern Minimalist Game Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-game-room-modern-minimalist.png
game-room,Contemporary,Contemporary Game Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-game-room-contemporary.png
game-room,Eclectic,Eclectic Game Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-game-room-eclectic.png
game-room,Industrial,Industrial Loft Game Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-game-room-industrial-loft.png
game-room,Retro,Retro Vintage Game Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-game-room-retro-vintage.png
game-room,Colorful,Colorful Contemporary Game Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-game-room-colorful-contemporary.png
game-room,Urban,Urban Modern Game Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-game-room-urban-modern.png
game-room,Memphis,Memphis Design Game Room,low,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-game-room-memphis-design.png
garage,Scandinavian,Scandinavian Garage,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-garage-scandinavian.png
garage,Modern,Modern Farmhouse Garage,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-garage-modern-farmhouse.png
garage,Modern,Modern Minimalist Garage,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-garage-modern-minimalist.png
garage,Contemporary,Contemporary Garage,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-garage-contemporary.png
garage,Transitional,Transitional Garage,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-garage-transitional.png
garage,Industrial,Industrial Loft Garage,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-garage-industrial-loft.png
garage,Urban,Urban Modern Garage,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-garage-urban-modern.png
garage,Brutalist,Brutalist Garage,low,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-garage-brutalist.png
guest-bedroom,Latte,Latte / Creamy Style Guest Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-guest-bedroom-latte-creamy-style.png
guest-bedroom,Warm,Warm Minimalism Guest Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-guest-bedroom-warm-minimalism.png
guest-bedroom,Scandinavian,Scandinavian Guest Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-guest-bedroom-scandinavian.png
guest-bedroom,Japandi,Japandi Guest Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-guest-bedroom-japandi.png
guest-bedroom,Cottagecore,Cottagecore Guest Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-guest-bedroom-cottagecore.png
guest-bedroom,Modern,Modern Minimalist Guest Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-guest-bedroom-modern-minimalist.png
guest-bedroom,Coastal,Coastal Guest Bedroom,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-guest-bedroom-coastal.png
guest-bedroom,Contemporary,Contemporary Guest Bedroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-guest-bedroom-contemporary.png
guest-bedroom,Transitional,Transitional Guest Bedroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-guest-bedroom-transitional.png
guest-bedroom,Nordic,Nordic Light Guest Bedroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-guest-bedroom-nordic-light.png
guest-bedroom,Traditional,Traditional Guest Bedroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-guest-bedroom-traditional.png
guest-bedroom,Natural,Natural Biophilic Guest Bedroom,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-guest-bedroom-natural-biophilic.png
hallway-corridor,Scandinavian,Scandinavian Hallway Corridor,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-hallway-corridor-scandinavian.png
hallway-corridor,Modern,Modern Minimalist Hallway Corridor,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-hallway-corridor-modern-minimalist.png
hallway-corridor,Grandmillennial,Grandmillennial Hallway Corridor,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-hallway-corridor-grandmillennial.png
hallway-corridor,Contemporary,Contemporary Hallway Corridor,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-hallway-corridor-contemporary.png
hallway-corridor,Transitional,Transitional Hallway Corridor,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-hallway-corridor-transitional.png
hallway-corridor,Parisian,Parisian Chic Hallway Corridor,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-hallway-corridor-parisian-chic.png
hallway-corridor,Industrial,Industrial Loft Hallway Corridor,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-hallway-corridor-industrial-loft.png
hallway-corridor,Traditional,Traditional Hallway Corridor,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-hallway-corridor-traditional.png
hallway-corridor,Modern,Modern Luxury Hallway Corridor,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-hallway-corridor-modern-luxury.png
hallway-corridor,Art,Art Gallery Hallway Corridor,low,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-hallway-corridor-art-gallery.png
home-bar,Maximalist,Maximalist Home Bar,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-bar-maximalist.png
home-bar,Mid-Century,Mid-Century Modern Home Bar,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-bar-mid-century-modern.png
home-bar,Contemporary,Contemporary Home Bar,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-bar-contemporary.png
home-bar,Art,Art Deco Home Bar,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-bar-art-deco.png
home-bar,Parisian,Parisian Chic Home Bar,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-bar-parisian-chic.png
home-bar,Industrial,Industrial Loft Home Bar,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-bar-industrial-loft.png
home-bar,Traditional,Traditional Home Bar,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-bar-traditional.png
home-bar,Urban,Urban Modern Home Bar,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-bar-urban-modern.png
home-bar,Modern,Modern Luxury Home Bar,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-bar-modern-luxury.png
